05/04 07:17:00 FINE sim.Admin|Log for simulation 12 started
************************************************************
* Log for simulation 12 started
************************************************************


05/04 07:17:00 INFO sim.TACAdxSimulation|TACAA Simulation 12 is setting up...
05/04 07:17:00 INFO sim.TACAdxSimulation|Created Adx Agent
05/04 07:17:00 INFO sim.TACAdxSimulation|Created Demand Agent
05/04 07:17:00 FINE generators.SimpleUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
05/04 07:17:00 FINE sim.ExternalAgent|sample setup with address adv1
05/04 07:17:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
05/04 07:17:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
05/04 07:17:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
05/04 07:17:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
05/04 07:17:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
05/04 07:17:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
05/04 07:17:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
05/04 07:17:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
05/04 07:17:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
05/04 07:17:00 INFO agents.DemandAgent|setting up...
05/04 07:17:00 FINE agents.DemandAgent|Finished setup
05/04 07:17:00 INFO sim.Simulation|***** START OF TIME 0 *****
05/04 07:17:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=978927875, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[FEMALE, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=adv1]
05/04 07:17:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=848415411, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[OLD, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork]
05/04 07:17:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=26396597, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[OLD, MALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-2]
05/04 07:17:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1265974497, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[OLD, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-3]
05/04 07:17:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=2112880250, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[OLD, MALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-4]
05/04 07:17:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=388774958, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, YOUNG], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-5]
05/04 07:17:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1495464932, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[OLD, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-6]
05/04 07:17:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=130507636, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-7]
05/04 07:17:00 INFO agents.DemandAgent|Day 0 :Notifying new campaign opportunity: CampaignImpl [id=861034665, reachImps=6250, dayStart=2, dayEnd=11, targetSegment=[OLD, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
05/04 07:17:00 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
05/04 07:17:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 861034665 Cmp Bid: 3142
05/04 07:17:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.2 Cmp ID: 861034665 Cmp Bid: 2388
05/04 07:17:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 861034665 Cmp Bid: 3144
05/04 07:17:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.2 Cmp ID: 861034665 Cmp Bid: 3148
05/04 07:17:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.2 Cmp ID: 861034665 Cmp Bid: 2055
05/04 07:17:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.2 Cmp ID: 861034665 Cmp Bid: 2088
05/04 07:17:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.2 Cmp ID: 861034665 Cmp Bid: 3272
05/04 07:17:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv1 : UCS Bid: 0.16718361974161797 Cmp ID: 861034665 Cmp Bid: 21
05/04 07:17:10 INFO sim.Simulation|***** START OF TIME 1 *****
05/04 07:17:10 INFO agents.DemandAgent|Day 1 : Auction pending campaign: CampaignImpl [id=861034665, reachImps=6250, dayStart=2, dayEnd=11, targetSegment=[OLD, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
05/04 07:17:10 FINE agents.DemandAgent|Day 1 :Reporting auction results...CampaignImpl [id=861034665, reachImps=6250, dayStart=2, dayEnd=11, targetSegment=[OLD, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=2.088, advertiser=DummyAdnetwork-5]
