05/04 06:31:00 FINE sim.Admin|Log for simulation 7 started
************************************************************
* Log for simulation 7 started
************************************************************


05/04 06:31:00 INFO sim.TACAdxSimulation|TACAA Simulation 7 is setting up...
05/04 06:31:00 INFO sim.TACAdxSimulation|Created Adx Agent
05/04 06:31:00 INFO sim.TACAdxSimulation|Created Demand Agent
05/04 06:31:00 FINE generators.SimpleUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
05/04 06:31:00 FINE sim.ExternalAgent|sample setup with address adv1
05/04 06:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
05/04 06:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
05/04 06:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
05/04 06:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
05/04 06:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
05/04 06:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
05/04 06:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
05/04 06:31:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
05/04 06:31:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
05/04 06:31:00 INFO agents.DemandAgent|setting up...
05/04 06:31:00 FINE agents.DemandAgent|Finished setup
05/04 06:31:01 INFO sim.Simulation|***** START OF TIME 0 *****
05/04 06:31:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=614224506, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=adv1]
05/04 06:31:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=2007878303, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[YOUNG, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork]
05/04 06:31:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=852609563, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, OLD], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-2]
05/04 06:31:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1798032557, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-3]
05/04 06:31:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=143304915, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[YOUNG, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-4]
05/04 06:31:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1196538118, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[FEMALE, HIGH_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-5]
05/04 06:31:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1179278718, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-6]
05/04 06:31:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1010835263, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[YOUNG, HIGH_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-7]
05/04 06:31:01 INFO agents.DemandAgent|Day 0 :Notifying new campaign opportunity: CampaignImpl [id=141340300, reachImps=6250, dayStart=2, dayEnd=6, targetSegment=[LOW_INCOME, YOUNG], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
05/04 06:31:01 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
05/04 06:31:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 141340300 Cmp Bid: 3133
05/04 06:31:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.2 Cmp ID: 141340300 Cmp Bid: 2287
05/04 06:31:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 141340300 Cmp Bid: 2978
05/04 06:31:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.2 Cmp ID: 141340300 Cmp Bid: 2412
05/04 06:31:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.2 Cmp ID: 141340300 Cmp Bid: 2695
05/04 06:31:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.2 Cmp ID: 141340300 Cmp Bid: 3124
05/04 06:31:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.2 Cmp ID: 141340300 Cmp Bid: 2488
05/04 06:31:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv1 : UCS Bid: 0.1925452801111927 Cmp ID: 141340300 Cmp Bid: 1
05/04 06:31:10 INFO sim.Simulation|***** START OF TIME 1 *****
05/04 06:31:10 INFO agents.DemandAgent|Day 1 : Auction pending campaign: CampaignImpl [id=141340300, reachImps=6250, dayStart=2, dayEnd=6, targetSegment=[LOW_INCOME, YOUNG], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
05/04 06:31:10 FINE agents.DemandAgent|Day 1 :Reporting auction results...CampaignImpl [id=141340300, reachImps=6250, dayStart=2, dayEnd=6, targetSegment=[LOW_INCOME, YOUNG], videoCoef=2.0, mobileCoef=1.5, budget=2.412, advertiser=DummyAdnetwork-2]
05/04 06:31:10 INFO agents.DemandAgent|Day 1 :Notifying new campaign opportunity: CampaignImpl [id=1668588795, reachImps=12500, dayStart=3, dayEnd=7, targetSegment=[YOUNG, MALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
05/04 06:31:11 INFO sim.Simulation|***** START OF TIME 1 COMPLETE *****
05/04 06:31:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 1668588795 Cmp Bid: 3262
05/04 06:31:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.2 Cmp ID: 1668588795 Cmp Bid: 2671
05/04 06:31:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 1668588795 Cmp Bid: 3141
05/04 06:31:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.2 Cmp ID: 1668588795 Cmp Bid: 2995
05/04 06:31:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.2 Cmp ID: 1668588795 Cmp Bid: 3157
05/04 06:31:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.2 Cmp ID: 1668588795 Cmp Bid: 2427
05/04 06:31:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.2 Cmp ID: 1668588795 Cmp Bid: 2740
05/04 06:31:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from adv1 : UCS Bid: 0.19296657991254768 Cmp ID: 1668588795 Cmp Bid: 1
05/04 06:31:20 INFO sim.Simulation|***** START OF TIME 2 *****
05/04 06:31:20 INFO agents.DemandAgent|Day 2 : Auction pending campaign: CampaignImpl [id=1668588795, reachImps=12500, dayStart=3, dayEnd=7, targetSegment=[YOUNG, MALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
05/04 06:31:20 FINE agents.DemandAgent|Day 2 :Reporting auction results...CampaignImpl [id=1668588795, reachImps=12500, dayStart=3, dayEnd=7, targetSegment=[YOUNG, MALE], videoCoef=2.0, mobileCoef=1.5, budget=2.671, advertiser=DummyAdnetwork-6]
05/04 06:31:20 INFO agents.DemandAgent|Day 2 :Notifying new campaign opportunity: CampaignImpl [id=272287785, reachImps=3750, dayStart=4, dayEnd=6, targetSegment=[LOW_INCOME, OLD], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
05/04 06:31:20 INFO sim.Simulation|***** START OF TIME 2 COMPLETE *****
05/04 06:31:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 272287785 Cmp Bid: 2832
05/04 06:31:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.2 Cmp ID: 272287785 Cmp Bid: 2388
05/04 06:31:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 272287785 Cmp Bid: 3128
05/04 06:31:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.2 Cmp ID: 272287785 Cmp Bid: 2080
05/04 06:31:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.2 Cmp ID: 272287785 Cmp Bid: 1
05/04 06:31:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.2 Cmp ID: 272287785 Cmp Bid: 2104
