05/04 06:15:00 FINE sim.Admin|Log for simulation 5 started
************************************************************
* Log for simulation 5 started
************************************************************


05/04 06:15:00 INFO sim.TACAdxSimulation|TACAA Simulation 5 is setting up...
05/04 06:15:00 INFO sim.TACAdxSimulation|Created Adx Agent
05/04 06:15:00 INFO sim.TACAdxSimulation|Created Demand Agent
05/04 06:15:00 FINE generators.SimpleUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
05/04 06:15:00 FINE sim.ExternalAgent|sample setup with address adv1
05/04 06:15:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
05/04 06:15:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
05/04 06:15:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
05/04 06:15:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
05/04 06:15:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
05/04 06:15:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
05/04 06:15:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
05/04 06:15:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
05/04 06:15:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
05/04 06:15:00 INFO agents.DemandAgent|setting up...
05/04 06:15:00 FINE agents.DemandAgent|Finished setup
05/04 06:15:01 INFO sim.Simulation|***** START OF TIME 0 *****
05/04 06:15:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=469418656, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[MALE, OLD], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=adv1]
05/04 06:15:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=2078777864, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[YOUNG, MALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork]
05/04 06:15:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=163741802, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[FEMALE, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-2]
05/04 06:15:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1081914407, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[MALE, OLD], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-3]
05/04 06:15:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=991399300, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, OLD], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-4]
05/04 06:15:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=122418027, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[YOUNG, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-5]
05/04 06:15:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=190445963, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[YOUNG, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-6]
05/04 06:15:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1074666111, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[MALE, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-7]
05/04 06:15:01 INFO agents.DemandAgent|Day 0 :Notifying new campaign opportunity: CampaignImpl [id=1202586031, reachImps=3750, dayStart=2, dayEnd=6, targetSegment=[MALE, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
05/04 06:15:01 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
05/04 06:15:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 1202586031 Cmp Bid: 3155
05/04 06:15:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.2 Cmp ID: 1202586031 Cmp Bid: 2005
05/04 06:15:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 1202586031 Cmp Bid: 2949
05/04 06:15:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.2 Cmp ID: 1202586031 Cmp Bid: 3126
05/04 06:15:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.2 Cmp ID: 1202586031 Cmp Bid: 2699
05/04 06:15:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.2 Cmp ID: 1202586031 Cmp Bid: 2469
05/04 06:15:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.2 Cmp ID: 1202586031 Cmp Bid: 2378
05/04 06:15:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv1 : UCS Bid: 0.1184969344833067 Cmp ID: 1202586031 Cmp Bid: 598
05/04 06:15:10 INFO sim.Simulation|***** START OF TIME 1 *****
05/04 06:15:10 INFO agents.DemandAgent|Day 1 : Auction pending campaign: CampaignImpl [id=1202586031, reachImps=3750, dayStart=2, dayEnd=6, targetSegment=[MALE, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
05/04 06:15:10 FINE agents.DemandAgent|Day 1 :Reporting auction results...CampaignImpl [id=1202586031, reachImps=3750, dayStart=2, dayEnd=6, targetSegment=[MALE, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=2.0050000000000003, advertiser=adv1]
05/04 06:15:10 INFO agents.DemandAgent|Day 1 :Notifying new campaign opportunity: CampaignImpl [id=594149356, reachImps=12500, dayStart=3, dayEnd=5, targetSegment=[YOUNG, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
05/04 06:15:11 INFO sim.Simulation|***** START OF TIME 1 COMPLETE *****
05/04 06:15:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 594149356 Cmp Bid: 2818
05/04 06:15:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.2 Cmp ID: 594149356 Cmp Bid: 3197
05/04 06:15:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 594149356 Cmp Bid: 2841
05/04 06:15:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.2 Cmp ID: 594149356 Cmp Bid: 2246
05/04 06:15:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.2 Cmp ID: 594149356 Cmp Bid: 2832
05/04 06:15:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.2 Cmp ID: 594149356 Cmp Bid: 2025
05/04 06:15:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.2 Cmp ID: 594149356 Cmp Bid: 3123
