05/04 06:40:00 FINE sim.Admin|Log for simulation 8 started
************************************************************
* Log for simulation 8 started
************************************************************


05/04 06:40:00 INFO sim.TACAdxSimulation|TACAA Simulation 8 is setting up...
05/04 06:40:00 INFO sim.TACAdxSimulation|Created Adx Agent
05/04 06:40:00 INFO sim.TACAdxSimulation|Created Demand Agent
05/04 06:40:00 FINE generators.SimpleUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
05/04 06:40:00 FINE sim.ExternalAgent|sample setup with address adv1
05/04 06:40:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
05/04 06:40:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
05/04 06:40:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
05/04 06:40:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
05/04 06:40:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
05/04 06:40:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
05/04 06:40:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
05/04 06:40:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
05/04 06:40:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
05/04 06:40:00 INFO agents.DemandAgent|setting up...
05/04 06:40:00 FINE agents.DemandAgent|Finished setup
05/04 06:40:00 INFO sim.Simulation|***** START OF TIME 0 *****
05/04 06:40:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=229997071, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[YOUNG, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=adv1]
05/04 06:40:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1011019491, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork]
05/04 06:40:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1313970173, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, YOUNG], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-2]
05/04 06:40:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1322355510, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-3]
05/04 06:40:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=520793767, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[FEMALE, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-4]
05/04 06:40:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1984980444, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[OLD, MALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-5]
05/04 06:40:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=407866163, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-6]
05/04 06:40:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=238800317, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[OLD, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-7]
05/04 06:40:00 INFO agents.DemandAgent|Day 0 :Notifying new campaign opportunity: CampaignImpl [id=654590587, reachImps=3750, dayStart=2, dayEnd=4, targetSegment=[HIGH_INCOME, YOUNG], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
05/04 06:40:01 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
05/04 06:40:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 654590587 Cmp Bid: 2943
05/04 06:40:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.2 Cmp ID: 654590587 Cmp Bid: 2084
05/04 06:40:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 654590587 Cmp Bid: 2499
05/04 06:40:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.2 Cmp ID: 654590587 Cmp Bid: 3248
05/04 06:40:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.2 Cmp ID: 654590587 Cmp Bid: 2908
05/04 06:40:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.2 Cmp ID: 654590587 Cmp Bid: 2634
05/04 06:40:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.2 Cmp ID: 654590587 Cmp Bid: 2506
05/04 06:40:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv1 : UCS Bid: 0.18333161619061822 Cmp ID: 654590587 Cmp Bid: 51
05/04 06:40:10 INFO sim.Simulation|***** START OF TIME 1 *****
05/04 06:40:10 INFO agents.DemandAgent|Day 1 : Auction pending campaign: CampaignImpl [id=654590587, reachImps=3750, dayStart=2, dayEnd=4, targetSegment=[HIGH_INCOME, YOUNG], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
05/04 06:40:10 FINE agents.DemandAgent|Day 1 :Reporting auction results...CampaignImpl [id=654590587, reachImps=3750, dayStart=2, dayEnd=4, targetSegment=[HIGH_INCOME, YOUNG], videoCoef=2.0, mobileCoef=1.5, budget=2.4989999999999997, advertiser=DummyAdnetwork-2]
05/04 06:40:10 INFO agents.DemandAgent|Day 1 :Notifying new campaign opportunity: CampaignImpl [id=1256505323, reachImps=6250, dayStart=3, dayEnd=7, targetSegment=[LOW_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
05/04 06:40:11 INFO sim.Simulation|***** START OF TIME 1 COMPLETE *****
05/04 06:40:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 1256505323 Cmp Bid: 2885
05/04 06:40:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.2 Cmp ID: 1256505323 Cmp Bid: 2162
05/04 06:40:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 1256505323 Cmp Bid: 2237
05/04 06:40:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.2 Cmp ID: 1256505323 Cmp Bid: 2716
05/04 06:40:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.2 Cmp ID: 1256505323 Cmp Bid: 3018
05/04 06:40:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.2 Cmp ID: 1256505323 Cmp Bid: 2591
05/04 06:40:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.2 Cmp ID: 1256505323 Cmp Bid: 3226
05/04 06:40:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from adv1 : UCS Bid: 0.10086748959920283 Cmp ID: 1256505323 Cmp Bid: 47
05/04 06:40:20 INFO sim.Simulation|***** START OF TIME 2 *****
05/04 06:40:20 INFO agents.DemandAgent|Day 2 : Auction pending campaign: CampaignImpl [id=1256505323, reachImps=6250, dayStart=3, dayEnd=7, targetSegment=[LOW_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
05/04 06:40:20 FINE agents.DemandAgent|Day 2 :Reporting auction results...CampaignImpl [id=1256505323, reachImps=6250, dayStart=3, dayEnd=7, targetSegment=[LOW_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=2237.0, advertiser=DummyAdnetwork-3]
05/04 06:40:20 INFO agents.DemandAgent|Day 2 :Notifying new campaign opportunity: CampaignImpl [id=616656040, reachImps=12500, dayStart=4, dayEnd=6, targetSegment=[YOUNG, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
05/04 06:40:20 INFO sim.Simulation|***** START OF TIME 2 COMPLETE *****
05/04 06:40:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 616656040 Cmp Bid: 2227
05/04 06:40:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.2 Cmp ID: 616656040 Cmp Bid: 3047
05/04 06:40:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 616656040 Cmp Bid: 3077
05/04 06:40:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.2 Cmp ID: 616656040 Cmp Bid: 1
05/04 06:40:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.2 Cmp ID: 616656040 Cmp Bid: 1
05/04 06:40:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.2 Cmp ID: 616656040 Cmp Bid: 2267
05/04 06:40:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.2 Cmp ID: 616656040 Cmp Bid: 2929
05/04 06:40:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from adv1 : UCS Bid: 0.1434036226524044 Cmp ID: 616656040 Cmp Bid: 166
05/04 06:40:30 INFO sim.Simulation|***** START OF TIME 3 *****
05/04 06:40:30 INFO agents.DemandAgent|Day 3 : Auction pending campaign: CampaignImpl [id=616656040, reachImps=12500, dayStart=4, dayEnd=6, targetSegment=[YOUNG, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
05/04 06:40:30 FINE agents.DemandAgent|Day 3 :Reporting auction results...CampaignImpl [id=616656040, reachImps=12500, dayStart=4, dayEnd=6, targetSegment=[YOUNG, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=2.2670000000000003, advertiser=DummyAdnetwork]
05/04 06:40:30 INFO agents.DemandAgent|Day 3 :Notifying new campaign opportunity: CampaignImpl [id=1587861567, reachImps=6250, dayStart=5, dayEnd=9, targetSegment=[HIGH_INCOME, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
05/04 06:40:30 INFO sim.Simulation|***** START OF TIME 3 COMPLETE *****
05/04 06:40:30 FINE agents.DemandAgent|Day 3 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 1587861567 Cmp Bid: 2572
05/04 06:40:30 FINE agents.DemandAgent|Day 3 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.2 Cmp ID: 1587861567 Cmp Bid: 2656
05/04 06:40:30 FINE agents.DemandAgent|Day 3 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 1587861567 Cmp Bid: 2415
