05/04 06:51:00 FINE sim.Admin|Log for simulation 9 started
************************************************************
* Log for simulation 9 started
************************************************************


05/04 06:51:00 INFO sim.TACAdxSimulation|TACAA Simulation 9 is setting up...
05/04 06:51:00 INFO sim.TACAdxSimulation|Created Adx Agent
05/04 06:51:00 INFO sim.TACAdxSimulation|Created Demand Agent
05/04 06:51:00 FINE generators.SimpleUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
05/04 06:51:00 FINE sim.ExternalAgent|sample setup with address adv1
05/04 06:51:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
05/04 06:51:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
05/04 06:51:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
05/04 06:51:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
05/04 06:51:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
05/04 06:51:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
05/04 06:51:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
05/04 06:51:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
05/04 06:51:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
05/04 06:51:00 INFO agents.DemandAgent|setting up...
05/04 06:51:00 FINE agents.DemandAgent|Finished setup
05/04 06:51:00 INFO sim.Simulation|***** START OF TIME 0 *****
05/04 06:51:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1163387880, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[YOUNG, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=adv1]
05/04 06:51:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1943895009, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork]
05/04 06:51:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1374694452, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, YOUNG], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-2]
05/04 06:51:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1860580338, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[YOUNG, MALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-3]
05/04 06:51:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1264356799, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-4]
