05/04 07:02:00 FINE sim.Admin|Log for simulation 10 started
************************************************************
* Log for simulation 10 started
************************************************************


05/04 07:02:00 INFO sim.TACAdxSimulation|TACAA Simulation 10 is setting up...
05/04 07:02:00 INFO sim.TACAdxSimulation|Created Adx Agent
05/04 07:02:00 INFO sim.TACAdxSimulation|Created Demand Agent
05/04 07:02:00 FINE generators.SimpleUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
05/04 07:02:00 FINE sim.ExternalAgent|sample setup with address adv1
05/04 07:02:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
05/04 07:02:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
05/04 07:02:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
05/04 07:02:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
05/04 07:02:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
05/04 07:02:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
05/04 07:02:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
05/04 07:02:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
05/04 07:02:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
05/04 07:02:00 INFO agents.DemandAgent|setting up...
05/04 07:02:00 FINE agents.DemandAgent|Finished setup
05/04 07:02:00 INFO sim.Simulation|***** START OF TIME 0 *****
05/04 07:02:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1228593581, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[OLD, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=adv1]
05/04 07:02:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=917049962, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[YOUNG, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork]
05/04 07:02:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=368576815, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[OLD, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-2]
05/04 07:02:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1327691757, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[FEMALE, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-3]
05/04 07:02:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=12783922, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-4]
05/04 07:02:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=111012354, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[FEMALE, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-5]
05/04 07:02:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1768828082, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[YOUNG, MALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-6]
05/04 07:02:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1077448753, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[OLD, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-7]
05/04 07:02:00 INFO agents.DemandAgent|Day 0 :Notifying new campaign opportunity: CampaignImpl [id=1099080167, reachImps=6250, dayStart=2, dayEnd=4, targetSegment=[OLD, MALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
05/04 07:02:00 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
05/04 07:02:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 1099080167 Cmp Bid: 2929
05/04 07:02:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.2 Cmp ID: 1099080167 Cmp Bid: 2204
05/04 07:02:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 1099080167 Cmp Bid: 2780
05/04 07:02:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.2 Cmp ID: 1099080167 Cmp Bid: 3217
05/04 07:02:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.2 Cmp ID: 1099080167 Cmp Bid: 3085
05/04 07:02:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.2 Cmp ID: 1099080167 Cmp Bid: 2301
05/04 07:02:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.2 Cmp ID: 1099080167 Cmp Bid: 2369
05/04 07:02:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv1 : UCS Bid: 0.11516622268881965 Cmp ID: 1099080167 Cmp Bid: 84
05/04 07:02:10 INFO sim.Simulation|***** START OF TIME 1 *****
05/04 07:02:10 INFO agents.DemandAgent|Day 1 : Auction pending campaign: CampaignImpl [id=1099080167, reachImps=6250, dayStart=2, dayEnd=4, targetSegment=[OLD, MALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
05/04 07:02:10 FINE agents.DemandAgent|Day 1 :Reporting auction results...CampaignImpl [id=1099080167, reachImps=6250, dayStart=2, dayEnd=4, targetSegment=[OLD, MALE], videoCoef=2.0, mobileCoef=1.5, budget=2301.0, advertiser=DummyAdnetwork-6]
05/04 07:02:10 INFO agents.DemandAgent|Day 1 :Notifying new campaign opportunity: CampaignImpl [id=701783971, reachImps=3750, dayStart=3, dayEnd=5, targetSegment=[OLD, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
05/04 07:02:10 INFO sim.Simulation|***** START OF TIME 1 COMPLETE *****
05/04 07:02:10 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 701783971 Cmp Bid: 2057
05/04 07:02:10 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.2 Cmp ID: 701783971 Cmp Bid: 3038
05/04 07:02:10 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 701783971 Cmp Bid: 2313
05/04 07:02:10 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.2 Cmp ID: 701783971 Cmp Bid: 2100
05/04 07:02:10 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.2 Cmp ID: 701783971 Cmp Bid: 3227
