05/04 06:26:00 FINE sim.Admin|Log for simulation 6 started
************************************************************
* Log for simulation 6 started
************************************************************


05/04 06:26:00 INFO sim.TACAdxSimulation|TACAA Simulation 6 is setting up...
05/04 06:26:00 INFO sim.TACAdxSimulation|Created Adx Agent
05/04 06:26:00 INFO sim.TACAdxSimulation|Created Demand Agent
05/04 06:26:00 FINE generators.SimpleUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
05/04 06:26:00 FINE sim.ExternalAgent|sample setup with address adv1
05/04 06:26:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
05/04 06:26:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
05/04 06:26:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
05/04 06:26:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
05/04 06:26:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
05/04 06:26:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
05/04 06:26:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
05/04 06:26:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
05/04 06:26:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
05/04 06:26:00 INFO agents.DemandAgent|setting up...
05/04 06:26:00 FINE agents.DemandAgent|Finished setup
05/04 06:26:00 INFO sim.Simulation|***** START OF TIME 0 *****
05/04 06:26:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1618097247, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[FEMALE, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=adv1]
05/04 06:26:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1422345554, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[OLD, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork]
05/04 06:26:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1721251321, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[FEMALE, OLD], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-2]
05/04 06:26:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=318743310, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[MALE, OLD], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-3]
05/04 06:26:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1294595552, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[MALE, OLD], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-4]
05/04 06:26:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=2110614707, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[YOUNG, HIGH_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-5]
05/04 06:26:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=966499403, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[MALE, LOW_INCOME], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-6]
05/04 06:26:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=389160313, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[YOUNG, MALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-7]
05/04 06:26:00 INFO agents.DemandAgent|Day 0 :Notifying new campaign opportunity: CampaignImpl [id=1529675476, reachImps=12500, dayStart=2, dayEnd=11, targetSegment=[HIGH_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=null, advertiser=null]
05/04 06:26:00 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
05/04 06:26:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.2 Cmp ID: 1529675476 Cmp Bid: 2817
05/04 06:26:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.2 Cmp ID: 1529675476 Cmp Bid: 3236
05/04 06:26:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.2 Cmp ID: 1529675476 Cmp Bid: 3244
